symptom1,symptom2,correlation
SLEEP0,HEART0,0.8574921869341291
NERVOUS0,HEART0,0.8391450501216556
SLEEP0,HEARTBR0,0.8351915651914974
HEART0,HEARTBR0,0.8350790832478867
TIRED0,WORNOUT0,0.8279516834729163
SLEEP0,NERVOUS0,0.8227888433666216
NERVOUS0,HEARTBR0,0.80677852353016
HEARTBR0,PAIN0,0.779624012585997
DAYSLEA0,LEAKBOT0,0.7698339689818812
HEART0,PAIN0,0.7552000032321595
SLEEP0,PAIN0,0.7512697468945743
BLUES0,DEPRESS0,0.750578944481395
OTHOTC0,SLEEP0,0.7482791323808602
AMTLEAK0,DAYSLEA0,0.7442985725229632
OTHOTC0,HEART0,0.7424697865016547
NERVOUS0,PAIN0,0.7421757894440753
OTHOTC0,HEARTBR0,0.7326477567958674
PAIN0,PAINYS0,0.7249922344763632
OTHOTC0,NERVOUS0,0.712890900568314
AMTLEAK0,LEAKBOT0,0.6726548261574457
OTHOTC0,PAIN0,0.6662066881644599
NERVOUS0,NERVYS0,0.6324245501888885
WAKEARL0,WAKEUP0,0.6265895815363625
FEELBLU0,MOODCHG0,0.5658155824069879
IRRITAB0,MOODCHG0,0.5553155753190477
DEPRESS0,FEARFUL0,0.5441641772343726
HARTYS0,HEART0,0.5413050890340843
FEELBLU0,IRRITAB0,0.5390043593401473
MOODCHG0,HARTRAC0,0.5386601069323212
DEPRESS0,KEEPMIN0,0.5312172305405148
BLUES0,FEARFUL0,0.5222838051346821
FEARFULA0,HARTRAC0,0.5116208114920492
FEARFULA0,MOODCHG0,0.5099207780789002
BREASTP0,CRAMPS0,0.4994399204956416
BLUES0,KEEPMIN0,0.49831878406722413
DAYSLEA0,LEAKURI0,0.48695291825793124
HARTRT10,HARTRT20,0.4833259233868507
WAKEUP0,GETUPUR0,0.4682485249023315
LEAKBOT0,LEAKURI0,0.4635030467687387
FEARFULA0,HDACHE0,0.4623501170710373
IRRITAB0,HARTRAC0,0.4531097805804425
RESTLES0,DEPRESS0,0.4508161945501213
FEARFULA0,FEELBLU0,0.44837990568452385
MOODCHG0,FORGET0,0.44814310070735364
DAYSLEA0,INVOLEA0,0.44190457174081654
MOODCHG0,HDACHE0,0.43699610359951346
RESTLES0,FEARFUL0,0.4351970669986985
HARTRAC0,HDACHE0,0.4325981250747302
FEARFULA0,IRRITAB0,0.43016301606409735
DEPRESS0,FEELBLU0,0.42534387388249895
CRAMPS0,HEARTBR0,0.420611035872598
RESTLES0,BLUES0,0.4187983419829437
FEARFUL0,KEEPMIN0,0.41692517987069244
HOTFLAS0,HARTRAC0,0.41082369409613106
SLEEP0,CRAMPS0,0.4084547763124457
HOTFLAS0,MOODCHG0,0.40840725309817905
HOTFLAS0,HDACHE0,0.4080383345210288
IRRITAB0,HDACHE0,0.40609628092966776
FEARFULA0,FORGET0,0.4059606105768149
CRAMPS0,HEART0,0.4054207047689272
IRRITAB0,DIZZY0,0.40502254464456916
NERVOUS0,CRAMPS0,0.4037469784583573
CRAMPS0,PAIN0,0.4025500050455504
AMTLEAK0,INVOLEA0,0.40079563263485857
FEARFULA0,DIZZY0,0.4004895639161352
CRAMPS0,HARTYS0,0.3976349327483453
BREASTP0,HEARTBR0,0.3949339495675517
BREASTP0,HARTYS0,0.3933839569715713
BREASTP0,HEART0,0.3933042306872957
RESTLES0,WAKEUP0,0.39238262607593366
HOTFLAS0,FEARFULA0,0.39219734478183016
NERVOUS0,HARTYS0,0.3897826376434267
RESTLES0,KEEPMIN0,0.3889478526027551
IRRITAB0,FORGET0,0.3882037281005213
SLEEP0,BREASTP0,0.3881408731144238
DIZZY0,HARTRAC0,0.3851677069038153
SLEEP0,HARTYS0,0.3826627948507747
FEELBLU0,DIZZY0,0.37805322665772795
NERVOUS0,BREASTP0,0.37667255918964904
HARTYS0,HEARTBR0,0.3763574629411197
MOODCHG0,DIZZY0,0.3740002475852471
INVOLEA0,LEAKBOT0,0.3733907988820779
DIZZY0,HDACHE0,0.3726627667869246
RESTLES0,WAKEARL0,0.37215849486881225
OTHOTC0,CRAMPS0,0.36890549170910214
DEPRESS0,CRAMPS0,0.366135086440506
BLUES0,CRAMPS0,0.3661348637134838
ANXIOUS0,MOODCHN0,0.36436774274176703
BREASTP0,PAIN0,0.36172234869252534
FORGET0,HARTRAC0,0.3602713474399997
DIZZY0,LEAKURI0,0.3601509555991409
OTHOTC0,HARTYS0,0.35913430671171526
MOODCHN0,HEART0,0.35887698341154645
FEELBLU0,HDACHE0,0.3573027388557843
FORGET0,DIZZY0,0.3572825144501096
COLDSWE0,HOTFLAS0,0.35588453340293713
FEELBLU0,HARTRAC0,0.3535084814030867
FEELBLU0,FORGET0,0.35337637652308795
COLDSWE0,DIZZY0,0.3533201742204092
SWEATPA0,HARTRT10,0.35044375194800337
HARTYS0,PAIN0,0.34998417402500337
FEARFUL0,NERVOUS0,0.34906379991765796
FEARFUL0,CRAMPS0,0.3475901106605383
OTHOTC0,BREASTP0,0.3474562919206343
FORGET0,LEAKURI0,0.34728176912842035
BLUES0,FEELBLU0,0.3468677128188686
FORGET0,HDACHE0,0.34307752810503866
DEPRESS0,NERVOUS0,0.34305234080659197
BLUES0,NERVOUS0,0.34251597492986213
KEEPMIN0,CRAMPS0,0.33808925153046027
IRRITAB0,LEAKURI0,0.3359071430239565
MOODCHN0,CRAMPS0,0.33340191425073396
HOTFLAS0,IRRITAB0,0.3301756017349806
FEARFUL0,BREASTP0,0.32792876982983127
WAKEARL0,GETUPUR0,0.32721294514160454
BLUES0,BREASTP0,0.3253469679655073
BLOATED0,CRAMPS0,0.3240972897127889
FEARFULA0,LEAKURI0,0.3226716503477459
HDACHE0,STIFF0,0.3221639499482167
HARTRAC0,LEAKURI0,0.32147884199132354
FEELBLU0,STIFF0,0.32132113150191
MOODCHN0,BREASTP0,0.32051235411335177
FEELBLU0,VAGINDR0,0.32035248398593985
ANXIOUS0,CRAVING0,0.3168691262555635
IRRITAB0,STIFF0,0.3167086022346262
NERVOUS0,KEEPMIN0,0.3150376804132509
DEPRESS0,NERVYS0,0.31431965308832904
DEPRESS0,BREASTP0,0.31344652875522
MOODCHN0,HEARTBR0,0.31308052705924877
BLOATED0,BREASTP0,0.31254936184737747
DEPRESS0,PAIN0,0.3117291830244912
FEARFUL0,NERVYS0,0.30997822615211396
FEELBLU0,LEAKURI0,0.30985766405572573
RESTLES0,CRAMPS0,0.30905689709592254
MOODCHG0,LEAKURI0,0.30896271733576425
SLEEP0,MOODCHN0,0.3085504464946844
DEPRESS0,MOODCHG0,0.30834282422886455
FEARFULA0,VAGINDR0,0.3080461310907039
BLUES0,NERVYS0,0.30789760614854067
RESTLES0,NERVOUS0,0.30761888649720126
MOODCHN0,NERVOUS0,0.30726916236770885
BLUES0,PAIN0,0.3071168063668297
AMTLEAK0,LEAKURI0,0.3069942399007411
BLOATED0,HEARTBR0,0.30611633623779755
FEARFUL0,HEART0,0.3054995948208863
FEARFUL0,HARTYS0,0.30534622562292674
HOTFLAS0,DIZZY0,0.3053403059168877
MOODCHN0,PAIN0,0.3050319242471404
FEARFUL0,PAIN0,0.30309652681156934
KEEPMIN0,HEARTBR0,0.30112789344062174
MOODCHG0,STIFF0,0.30079970748636453
BLOATED0,HEART0,0.3007734623181068
DEPRESS0,HEARTBR0,0.3003645415197768
TIRED0,DEPRESS0,-0.3086394670512735
